,Timestamp,P1,P2,P3,P4
178,178,3000,1500,1500,800
179,179,3000,1500,1500,800
180,180,3000,1500,1500,800
181,181,3000,1500,1500,800
182,182,3000,1500,1500,800
183,183,3000,1500,1500,800
184,184,3000,1500,1500,800
185,185,3000,1500,1500,800
186,186,3000,1500,1500,800
187,187,3000,1500,1500,800
188,188,3000,1500,1500,800
189,189,3000,1500,1500,800
190,190,3000,1500,1500,800
191,191,3000,1500,1500,800
192,192,3000,1500,1500,800
193,193,3000,1500,1500,800
194,194,3000,1500,1500,800
195,195,3000,1500,1500,800
196,196,3000,1500,1500,800
197,197,3000,1500,1500,800
198,198,3000,1500,1500,800
199,199,3000,1500,1500,800
200,200,3000,1500,1500,800
201,201,3000,1500,1500,800
202,202,3000,1500,1500,800
203,203,3000,1500,1500,800
204,204,3000,1500,1500,800
205,205,3000,1500,1500,800
206,206,3000,1500,1500,800
207,207,3000,1500,1500,800
208,208,3000,1500,1500,800
209,209,3000,1500,1500,800
210,210,3000,1500,1500,800
211,211,3000,1500,1500,800
212,212,3000,1500,1500,800
213,213,3000,1500,1500,800
214,214,3000,1500,1500,800
215,215,3000,1500,1500,800
216,216,3000,1500,1500,800
217,217,3000,1500,1500,800
218,218,3000,1500,1500,800
219,219,3000,1500,1500,800
220,220,3000,1500,1500,800
221,221,3000,1500,1500,800
222,222,3000,1500,1500,800
223,223,3000,1500,1500,800
224,224,3000,1500,1500,800
225,225,3000,1500,1500,800
226,226,3000,1500,1500,800
227,227,3000,1500,1500,800
228,228,3000,1500,1500,800
229,229,3000,1500,1500,800
230,230,3000,1500,1500,800
231,231,3000,1500,1500,800
232,232,3000,1500,1500,800
233,233,3000,1500,1500,800
234,234,3000,1500,1500,800
235,235,3000,1500,1500,800
236,236,3000,1500,1500,800
237,237,3000,1500,1500,800
238,238,3000,1500,1500,800
239,239,3000,1500,1500,800
240,240,3000,1500,1500,800
241,241,3000,1500,1500,800
242,242,3000,1500,1500,800
243,243,3000,1500,1500,800
244,244,3000,1500,1500,800
245,245,3000,1500,1500,800
246,246,3000,1500,1500,800
247,247,3000,1500,1500,800
248,248,3000,1500,1500,800
249,249,3000,1500,1500,800
250,250,3000,1500,1500,800
251,251,3000,1500,1500,800
252,252,3000,1500,1500,800
253,253,3000,1500,1500,800
254,254,3000,1500,1500,800
255,255,3000,1500,1500,800
256,256,3000,1500,1500,800
257,257,3000,1500,1500,800
258,258,3000,1500,1500,800
259,259,3000,1500,1500,800
260,260,3000,1500,1500,800
261,261,3000,1500,1500,800
262,262,3000,1500,1500,800
263,263,3000,1500,1500,800
264,264,3000,1500,1500,800
265,265,3000,1500,1500,800
266,266,3000,1500,1500,800
267,267,3000,1500,1500,800
268,268,3000,1500,1500,800
269,269,3000,1500,1500,800
270,270,3000,1500,1500,800
271,271,3000,1500,1500,800
272,272,3000,1500,1500,800
273,273,3000,1500,1500,800
274,274,3000,1500,1500,800
275,275,3000,1500,1500,800
276,276,3000,1500,1500,800
277,277,3000,1500,1500,800
278,278,3000,1500,1500,800
279,279,3000,1500,1500,800
280,280,3000,1500,1500,800
281,281,3000,1500,1500,800
282,282,3000,1500,1500,800
283,283,3000,1500,1500,800
284,284,3000,1500,1500,800
285,285,3000,1500,1500,800
286,286,3000,1500,1500,800
287,287,3000,1500,1500,800
288,288,3000,1500,1500,800
289,289,3000,1500,1500,800
290,290,3000,1500,1500,800
291,291,3000,1500,1500,800
292,292,3000,1500,1500,800
293,293,3000,1500,1500,800
294,294,3000,1500,1500,800
295,295,3000,1500,1500,800
296,296,3000,1500,1500,800
297,297,3000,1500,1500,800
298,298,3000,1500,1500,800
299,299,3000,1500,1500,800
300,300,3000,1500,1500,800
301,301,3000,1500,1500,800
302,302,3000,1500,1500,800
303,303,3000,1500,1500,800
304,304,3000,1500,1500,800
305,305,3000,1500,1500,800
306,306,3000,1500,1500,800
307,307,3000,1500,1500,800
308,308,3000,1500,1500,800
309,309,3000,1500,1500,800
310,310,3000,1500,1500,800
311,311,3000,1500,1500,800
312,312,3000,1500,1500,800
313,313,3000,1500,1500,800
314,314,3000,1500,1500,800
315,315,3000,1500,1500,800
316,316,3000,1500,1500,800
317,317,3000,1500,1500,800
318,318,3000,1500,1500,800
319,319,3000,1500,1500,800
320,320,3000,1500,1500,800
321,321,3000,1500,1500,800
322,322,3000,1500,1500,800
323,323,3000,1500,1500,800
324,324,3000,1500,1500,800
325,325,3000,1500,1500,800
326,326,3000,1500,1500,800
327,327,3000,1500,1500,800
328,328,3000,1500,1500,800
329,329,3000,1500,1500,800
330,330,3000,1500,1500,800
331,331,3000,1500,1500,800
332,332,3000,1500,1500,800
333,333,3000,1500,1500,800
334,334,3000,1500,1500,800
335,335,3000,1500,1500,800
336,336,3000,1500,1500,800
337,337,3000,1500,1500,800
338,338,3000,1500,1500,800
339,339,3000,1500,1500,800
340,340,3000,1500,1500,800
341,341,3000,1500,1500,800
342,342,3000,1500,1500,800
343,343,3000,1500,1500,800
344,344,3000,1500,1500,800
345,345,3000,1500,1500,800
346,346,3000,1500,1500,800
347,347,3000,1500,1500,800
348,348,3000,1500,1500,800
349,349,3000,1500,1500,800
350,350,3000,1500,1500,800
351,351,3000,1500,1500,800
352,352,3000,1500,1500,800
353,353,3000,1500,1500,800
354,354,3000,1500,1500,800
355,355,3000,1500,1500,800
356,356,3000,1500,1500,800
357,357,3000,1500,1500,800
358,358,3000,1500,1500,800
359,359,3000,1500,1500,800
360,360,3000,1500,1500,800
361,361,3000,1500,1500,800
362,362,3000,1500,1500,800
363,363,3000,1500,1500,800
364,364,3000,1500,1500,800
